day,opening_inventory,demand,available_inventory,order_quantity,sales,ending_inventory,shortage,order_cost,holding_cost,shortage_cost,total_cost
1,0,3,12,12,3,9,0,54.0,9.0,0.0,63.0
2,9,3,9,0,3,6,0,0.0,6.0,0.0,6.0
3,6,4,6,0,4,2,0,0.0,2.0,0.0,2.0
4,2,5,2,0,2,0,3,0.0,0.0,24.0,24.0
5,0,2,12,12,2,10,0,54.0,10.0,0.0,64.0
6,10,1,10,0,1,9,0,0.0,9.0,0.0,9.0
7,9,1,9,0,1,8,0,0.0,8.0,0.0,8.0
8,8,6,8,0,6,2,0,0.0,2.0,0.0,2.0
9,2,6,2,0,2,0,4,0.0,0.0,32.0,32.0
10,0,2,12,12,2,10,0,54.0,10.0,0.0,64.0
11,10,6,10,0,6,4,0,0.0,4.0,0.0,4.0
12,4,2,4,0,2,2,0,0.0,2.0,0.0,2.0
13,2,3,2,0,2,0,1,0.0,0.0,8.0,8.0
14,0,3,12,12,3,9,0,54.0,9.0,0.0,63.0
15,9,5,9,0,5,4,0,0.0,4.0,0.0,4.0
16,4,0,4,0,0,4,0,0.0,4.0,0.0,4.0
17,4,2,4,0,2,2,0,0.0,2.0,0.0,2.0
18,2,3,2,0,2,0,1,0.0,0.0,8.0,8.0
19,0,1,12,12,1,11,0,54.0,11.0,0.0,65.0
20,11,2,11,0,2,9,0,0.0,9.0,0.0,9.0
21,9,3,9,0,3,6,0,0.0,6.0,0.0,6.0
22,6,5,6,0,5,1,0,0.0,1.0,0.0,1.0
23,1,4,12,11,4,8,0,52.0,8.0,0.0,60.0
24,8,5,8,0,5,3,0,0.0,3.0,0.0,3.0
25,3,4,3,0,3,0,1,0.0,0.0,8.0,8.0
26,0,4,12,12,4,8,0,54.0,8.0,0.0,62.0
27,8,5,8,0,5,3,0,0.0,3.0,0.0,3.0
28,3,4,3,0,3,0,1,0.0,0.0,8.0,8.0
29,0,4,12,12,4,8,0,54.0,8.0,0.0,62.0
30,8,2,8,0,2,6,0,0.0,6.0,0.0,6.0
31,6,2,6,0,2,4,0,0.0,4.0,0.0,4.0
32,4,4,4,0,4,0,0,0.0,0.0,0.0,0.0
