scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,0,14,19.4352369768,6.0768260751,5.6717043368,5.3335239120,2.3531826529,0.1410026001,0.9060230570,5.3335239120,2.8358521684,0.2025608692
baseline_mixed,1,14,19.4383578093,6.4960573682,5.9319086715,5.6980264556,1.3123653140,0.0920899123,0.9475892446,5.6980264556,2.9659543357,0.2165352456
baseline_mixed,0,15,19.4446758786,5.7070214817,5.7070214817,5.8187188419,2.2119140734,0.1324561008,0.9116647734,5.8187188419,2.8535107408,0.1902340494
baseline_mixed,1,15,19.4482187759,6.0768260751,5.9537095370,6.1925213119,1.2251618518,0.0859605636,0.9510718110,6.1925213119,2.9768547685,0.2025608692
baseline_mixed,0,13,19.4953308094,6.4960573682,5.6299163857,4.8490225985,2.5203344571,0.1509961429,0.8993476655,4.8490225985,2.8149581929,0.2165352456
baseline_mixed,1,13,19.5031655695,6.9792498066,5.9073565762,5.2059854915,1.4105736952,0.0990025475,0.9436671847,5.2059854915,2.9536782881,0.2326416602
baseline_mixed,0,16,19.5101743047,5.3798263945,5.7384814875,6.3057923726,2.0860740501,0.1249143644,0.9166903335,6.3057923726,2.8692407437,0.1793275465
baseline_mixed,1,16,19.5174831729,5.7070214817,5.9719336833,6.6862627411,1.1522652669,0.0808154586,0.9539830165,6.6862627411,2.9859668416,0.1902340494
baseline_mixed,0,17,19.6224591814,5.0883791313,5.7668296821,6.7945690964,1.9726812716,0.1181444368,0.9212187991,6.7945690964,2.8834148410,0.1696126377
baseline_mixed,1,17,19.6357737538,5.3798263945,5.9883102163,7.1808780082,1.0867591347,0.0762259210,0.9565990761,7.1808780082,2.9941551082,0.1793275465
baseline_mixed,0,12,19.6370141278,6.9792498066,5.5833998453,4.3679638570,2.7064006190,0.1619783655,0.8919169082,4.3679638570,2.7916999226,0.2326416602
baseline_mixed,1,12,19.6568008768,7.5383136359,5.8784538524,4.7138487981,1.5261845904,0.1068652773,0.9390501362,4.7138487981,2.9392269262,0.2512771212
baseline_mixed,0,18,19.7746110314,4.8268733548,5.7922480257,7.2844817539,1.8710078970,0.1120578938,0.9252792373,7.2844817539,2.8961240129,0.1608957785
baseline_mixed,2,15,19.7937284230,6.4960573682,6.1160884961,6.6059365433,0.5756460155,0.0470483124,0.9770109419,6.6059365433,3.0580442481,0.2165352456
baseline_mixed,1,18,19.7954481239,5.0883791313,6.0031185557,7.6764246596,1.0275257773,0.0720783648,0.9589646255,7.6764246596,3.0015592778,0.1696126377
baseline_mixed,2,14,19.8101477368,6.9792498066,6.1053616713,6.1069829440,0.6185533150,0.0505912124,0.9752973916,6.1069829440,3.0526808356,0.2326416602
baseline_mixed,2,16,19.8464948310,6.0768260751,6.1256306641,7.1065607483,0.5374773434,0.0439333374,0.9785352499,7.1065607483,3.0628153321,0.2025608692
baseline_mixed,0,11,19.8830510281,7.5383136359,5.5280966663,3.8890273912,2.9276133348,0.1751785931,0.8830825346,3.8890273912,2.7640483331,0.2512771212
baseline_mixed,2,13,19.9087439353,7.5383136359,6.0921844071,5.6069835208,0.6712623716,0.0548656053,0.9731923973,5.6069835208,3.0460922035,0.2512771212
baseline_mixed,1,11,19.9262158721,8.1982658783,5.8457234787,4.2251204297,1.6571060854,0.1161004063,0.9338216420,4.2251204297,2.9228617393,0.2732755293
baseline_mixed,2,17,19.9517749630,5.7070214817,6.1335646004,7.6054472825,0.5057415984,0.0413296165,0.9798026518,7.6054472825,3.0667823002,0.1902340494
baseline_mixed,0,19,19.9608588898,4.5908648014,5.8150954151,7.7752803337,1.7796183395,0.1065844289,0.9289289801,7.7752803337,2.9075477076,0.1530288267
baseline_mixed,1,19,19.9902057746,4.8268733548,6.0163638134,8.1724238600,0.9745447464,0.0683666984,0.9610804814,8.1724238600,3.0081819067,0.1608957785
baseline_mixed,2,18,20.1021923068,5.3798263945,6.1407620583,8.1046520872,0.4769517668,0.0389767278,0.9809524055,8.1046520872,3.0703810291,0.1793275465
baseline_mixed,2,12,20.1135130280,8.1982658783,6.0779242913,5.1090200234,0.7283028350,0.0593157861,0.9709144235,5.1090200234,3.0389621456,0.2732755293
baseline_mixed,0,20,20.1763253534,4.3768840196,5.8358453595,8.2669774123,1.6966185619,0.1016107882,0.9322436677,8.2669774123,2.9179226798,0.1458961340
baseline_mixed,1,20,20.2147678876,4.5908648014,6.0282642729,8.6686959049,0.9269429084,0.0650229079,0.9629815132,8.6686959049,3.0141321364,0.1530288267
baseline_mixed,0,10,20.2569609980,8.1982658783,5.4655105855,3.4152268763,3.1779576579,0.1901064466,0.8730847581,3.4152268763,2.7327552928,0.2732755293
baseline_mixed,2,19,20.2908995704,5.0883791313,6.1472752852,8.6043462948,0.4508988591,0.0368555199,0.9819928571,8.6043462948,3.0736376426,0.1696126377
baseline_mixed,1,10,20.3410288289,8.9932386981,5.8112524834,3.7415475810,1.7949900664,0.1261176169,0.9283150932,3.7415475810,2.9056262417,0.2997746233
baseline_mixed,0,21,20.4171672496,4.1819381493,5.8547134090,8.7593693273,1.6211463641,0.0970889348,0.9352577331,8.7593693273,2.9273567045,0.1393979383
baseline_mixed,3,15,20.4560092503,6.9792498066,6.2065440960,7.0563917316,0.2138236162,0.0207949133,0.9914607182,7.0563917316,3.1032720480,0.2326416602
baseline_mixed,2,11,20.4582055107,8.9932386981,6.0634877172,4.6154299641,0.7860491313,0.0643290108,0.9686082615,4.6154299641,3.0317438586,0.2997746233
baseline_mixed,3,16,20.4643902360,6.4960573682,6.2101851210,7.5588882308,0.1992595160,0.0193688220,0.9920423516,7.5588882308,3.1050925605,0.2165352456
baseline_mixed,1,21,20.4650498357,4.3768840196,6.0390669360,9.1653666241,0.8837322560,0.0619911170,0.9647071783,9.1653666241,3.0195334680,0.1458961340
baseline_mixed,2,20,20.5116388856,4.8268733548,6.1530972103,9.1040571616,0.4276111590,0.0349502303,0.9829228770,9.1040571616,3.0765486051,0.1608957785
baseline_mixed,3,14,20.5246846984,7.5383136359,6.2019156176,6.5521179155,0.2323375294,0.0226022708,0.9907213447,6.5521179155,3.1009578088,0.2512771212
