s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap
0,14,19.4352369768,6.0768260751,5.6717043368,5.3335239120,2.3531826529,0.1410026001,0.9060230570,5.3335239120,2.8358521684,0.2025608692,19.4512054795,19.4020060180,19.5004049410,0.1421369863,0.1406732726,0.1436007000,0.9065233739,5.3356164384,2.8412328767,0.0159685027
1,14,19.4383578093,6.4960573682,5.9319086715,5.6980264556,1.3123653140,0.0920899123,0.9475892446,5.6980264556,2.9659543357,0.2165352456,19.4526849315,19.4048563767,19.5005134863,0.0921506849,0.0903913224,0.0939100475,0.9476876663,5.6976438356,2.9693013699,0.0143271222
0,15,19.4446758786,5.7070214817,5.7070214817,5.8187188419,2.2119140734,0.1324561008,0.9116647734,5.8187188419,2.8535107408,0.1902340494,19.4508493151,19.4048598716,19.4968387586,0.1325753425,0.1310652273,0.1340854576,0.9121687451,5.8100821918,2.8594520548,0.0061734365
1,15,19.4482187759,6.0768260751,5.9537095370,6.1925213119,1.2251618518,0.0859605636,0.9510718110,6.1925213119,2.9768547685,0.2025608692,19.4563561644,19.4118970987,19.5008152301,0.0855616438,0.0840033976,0.0871198901,0.9518687116,6.1934794521,2.9834246575,0.0081373885
0,13,19.4953308094,6.4960573682,5.6299163857,4.8490225985,2.5203344571,0.1509961429,0.8993476655,4.8490225985,2.8149581929,0.2165352456,19.5117397260,19.4583066720,19.5651727800,0.1513013699,0.1495456102,0.1530571296,0.8994284405,4.8489452055,2.8179726027,0.0164089166
1,13,19.5031655695,6.9792498066,5.9073565762,5.2059854915,1.4105736952,0.0990025475,0.9436671847,5.2059854915,2.9536782881,0.2326416602,19.5118630137,19.4639917242,19.5597343032,0.0992191781,0.0973419912,0.1010963650,0.9442498985,5.2051780822,2.9582191781,0.0086974442
0,16,19.5101743047,5.3798263945,5.7384814875,6.3057923726,2.0860740501,0.1249143644,0.9166903335,6.3057923726,2.8692407437,0.1793275465,19.5387945205,19.4907331508,19.5868558903,0.1259041096,0.1244725578,0.1273356614,0.9158815094,6.3134520548,2.8683835616,0.0286202159
1,16,19.5174831729,5.7070214817,5.9719336833,6.6862627411,1.1522652669,0.0808154586,0.9539830165,6.6862627411,2.9859668416,0.1902340494,19.5227123288,19.4813952765,19.5640293811,0.0802739726,0.0787188493,0.0818290959,0.9544622514,6.6775068493,2.9919726027,0.0052291559
0,17,19.6224591814,5.0883791313,5.7668296821,6.7945690964,1.9726812716,0.1181444368,0.9212187991,6.7945690964,2.8834148410,0.1696126377,19.6471369863,19.5971884796,19.6970854930,0.1170821918,0.1156294496,0.1185349340,0.9212658268,6.8035205479,2.8869726027,0.0246778049
1,17,19.6357737538,5.3798263945,5.9883102163,7.1808780082,1.0867591347,0.0762259210,0.9565990761,7.1808780082,2.9941551082,0.1793275465,19.6573013699,19.6131263023,19.7014764374,0.0776164384,0.0760673319,0.0791655448,0.9560465346,7.1875479452,2.9942054795,0.0215276161
0,12,19.6370141278,6.9792498066,5.5833998453,4.3679638570,2.7064006190,0.1619783655,0.8919169082,4.3679638570,2.7916999226,0.2326416602,19.6441917808,19.5919330640,19.6964504976,0.1617534247,0.1601839992,0.1633228501,0.8926388830,4.3669315068,2.7964931507,0.0071776531
1,12,19.6568008768,7.5383136359,5.8784538524,4.7138487981,1.5261845904,0.1068652773,0.9390501362,4.7138487981,2.9392269262,0.2512771212,19.6571232877,19.6053217852,19.7089247902,0.1069178082,0.1052396923,0.1085959241,0.9388368550,4.7005479452,2.9407671233,0.0003224109
0,18,19.7746110314,4.8268733548,5.7922480257,7.2844817539,1.8710078970,0.1120578938,0.9252792373,7.2844817539,2.8961240129,0.1608957785,19.7826712329,19.7363272416,19.8290152241,0.1127534247,0.1114303399,0.1140765094,0.9253036594,7.2733013699,2.9007123288,0.0080602015
2,15,19.7937284230,6.4960573682,6.1160884961,6.6059365433,0.5756460155,0.0470483124,0.9770109419,6.6059365433,3.0580442481,0.2165352456,19.8076027397,19.7648392846,19.8503661949,0.0474246575,0.0459669802,0.0488823349,0.9770651574,6.6054931507,3.0614383562,0.0138743167
1,18,19.7954481239,5.0883791313,6.0031185557,7.6764246596,1.0275257773,0.0720783648,0.9589646255,7.6764246596,3.0015592778,0.1696126377,19.8276438356,19.7823241493,19.8729635219,0.0719589041,0.0703831956,0.0735346126,0.9586150948,7.6864383562,3.0040958904,0.0321957117
2,14,19.8101477368,6.9792498066,6.1053616713,6.1069829440,0.6185533150,0.0505912124,0.9752973916,6.1069829440,3.0526808356,0.2326416602,19.8173561644,19.7742604441,19.8604518846,0.0500136986,0.0484872600,0.0515401373,0.9758901116,6.1059589041,3.0574520548,0.0072084276
2,16,19.8464948310,6.0768260751,6.1256306641,7.1065607483,0.5374773434,0.0439333374,0.9785352499,7.1065607483,3.0628153321,0.2025608692,19.8574794521,19.8167322584,19.8982266457,0.0431232877,0.0417848811,0.0444616943,0.9791574270,7.1079178082,3.0690136986,0.0109846211
0,11,19.8830510281,7.5383136359,5.5280966663,3.8890273912,2.9276133348,0.1751785931,0.8830825346,3.8890273912,2.7640483331,0.2512771212,19.8889315068,19.8321521924,19.9457108213,0.1759452055,0.1742560207,0.1776343903,0.8827032651,3.8764931507,2.7649178082,0.0058804787
2,13,19.9087439353,7.5383136359,6.0921844071,5.6069835208,0.6712623716,0.0548656053,0.9731923973,5.6069835208,3.0460922035,0.2512771212,19.9084520548,19.8601883143,19.9567157953,0.0553013699,0.0537906372,0.0568121026,0.9729449254,5.5936301370,3.0475616438,0.0002918805
1,11,19.9262158721,8.1982658783,5.8457234787,4.2251204297,1.6571060854,0.1161004063,0.9338216420,4.2251204297,2.9228617393,0.2732755293,19.9516438356,19.8994806250,20.0038070462,0.1181917808,0.1162545119,0.1201290497,0.9323137113,4.2149863014,2.9219041096,0.0254279635
2,17,19.9517749630,5.7070214817,6.1335646004,7.6054472825,0.5057415984,0.0413296165,0.9798026518,7.6054472825,3.0667823002,0.1902340494,19.9606849315,19.9229941289,19.9983757341,0.0409589041,0.0397197127,0.0421980955,0.9800616965,7.5972328767,3.0721917808,0.0089099685
0,19,19.9608588898,4.5908648014,5.8150954151,7.7752803337,1.7796183395,0.1065844289,0.9289289801,7.7752803337,2.9075477076,0.1530288267,19.9720410959,19.9256225102,20.0184596816,0.1070136986,0.1057252689,0.1083021284,0.9285790989,7.7690273973,2.9090821918,0.0111822061
1,19,19.9902057746,4.8268733548,6.0163638134,8.1724238600,0.9745447464,0.0683666984,0.9610804814,8.1724238600,3.0081819067,0.1608957785,19.9932328767,19.9503915840,20.0360741694,0.0683424658,0.0669609300,0.0697240015,0.9612757843,8.1605479452,3.0133835616,0.0030271021
