s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap
0,14,19.4352369768,6.0768260751,5.6717043368,5.3335239120,2.3531826529,0.1410026001,0.9060230570,5.3335239120,2.8358521684,0.2025608692,19.4512054795,19.4020060180,19.5004049410,0.1421369863,0.1406732726,0.1436007000,0.9065233739,5.3356164384,2.8412328767,0.0159685027
1,14,19.4383578093,6.4960573682,5.9319086715,5.6980264556,1.3123653140,0.0920899123,0.9475892446,5.6980264556,2.9659543357,0.2165352456,19.4526849315,19.4048563767,19.5005134863,0.0921506849,0.0903913224,0.0939100475,0.9476876663,5.6976438356,2.9693013699,0.0143271222
1,15,19.4482187759,6.0768260751,5.9537095370,6.1925213119,1.2251618518,0.0859605636,0.9510718110,6.1925213119,2.9768547685,0.2025608692,19.4563561644,19.4118970987,19.5008152301,0.0855616438,0.0840033976,0.0871198901,0.9518687116,6.1934794521,2.9834246575,0.0081373885
1,16,19.5174831729,5.7070214817,5.9719336833,6.6862627411,1.1522652669,0.0808154586,0.9539830165,6.6862627411,2.9859668416,0.1902340494,19.5227123288,19.4813952765,19.5640293811,0.0802739726,0.0787188493,0.0818290959,0.9544622514,6.6775068493,2.9919726027,0.0052291559
1,17,19.6357737538,5.3798263945,5.9883102163,7.1808780082,1.0867591347,0.0762259210,0.9565990761,7.1808780082,2.9941551082,0.1793275465,19.6573013699,19.6131263023,19.7014764374,0.0776164384,0.0760673319,0.0791655448,0.9560465346,7.1875479452,2.9942054795,0.0215276161
2,15,19.7937284230,6.4960573682,6.1160884961,6.6059365433,0.5756460155,0.0470483124,0.9770109419,6.6059365433,3.0580442481,0.2165352456,19.8076027397,19.7648392846,19.8503661949,0.0474246575,0.0459669802,0.0488823349,0.9770651574,6.6054931507,3.0614383562,0.0138743167
2,16,19.8464948310,6.0768260751,6.1256306641,7.1065607483,0.5374773434,0.0439333374,0.9785352499,7.1065607483,3.0628153321,0.2025608692,19.8574794521,19.8167322584,19.8982266457,0.0431232877,0.0417848811,0.0444616943,0.9791574270,7.1079178082,3.0690136986,0.0109846211
2,17,19.9517749630,5.7070214817,6.1335646004,7.6054472825,0.5057415984,0.0413296165,0.9798026518,7.6054472825,3.0667823002,0.1902340494,19.9606849315,19.9229941289,19.9983757341,0.0409589041,0.0397197127,0.0421980955,0.9800616965,7.5972328767,3.0721917808,0.0089099685
2,18,20.1021923068,5.3798263945,6.1407620583,8.1046520872,0.4769517668,0.0389767278,0.9809524055,8.1046520872,3.0703810291,0.1793275465,20.1137397260,20.0726742054,20.1548052467,0.0398493151,0.0386438815,0.0410547487,0.9807968543,8.1099315068,3.0716986301,0.0115474192
2,19,20.2908995704,5.0883791313,6.1472752852,8.6043462948,0.4508988591,0.0368555199,0.9819928571,8.6043462948,3.0736376426,0.1696126377,20.3240136986,20.2827094862,20.3653179111,0.0376712329,0.0364473371,0.0388951286,0.9815628050,8.6144794521,3.0760958904,0.0331141282
3,15,20.4560092503,6.9792498066,6.2065440960,7.0563917316,0.2138236162,0.0207949133,0.9914607182,7.0563917316,3.1032720480,0.2326416602,20.4673150685,20.4256790188,20.5089511182,0.0201917808,0.0191546601,0.0212289016,0.9918357298,7.0559452055,3.1074931507,0.0113058182
3,16,20.4643902360,6.4960573682,6.2101851210,7.5588882308,0.1992595160,0.0193688220,0.9920423516,7.5588882308,3.1050925605,0.2165352456,20.4755753425,20.4359894584,20.5151612265,0.0191780822,0.0181510067,0.0202051577,0.9921704059,7.5580684932,3.1088356164,0.0111851064
3,17,20.5389614695,6.0768260751,6.2134973389,8.0626274110,0.1860106445,0.0180884292,0.9925714599,8.0626274110,3.1067486694,0.2025608692,20.5555890411,20.5169026184,20.5942754638,0.0175479452,0.0166975332,0.0183983572,0.9929047945,8.0647945205,3.1121232877,0.0166275716
3,18,20.6624676473,5.7070214817,6.2162238335,8.5641176660,0.1751046662,0.0170196919,0.9930070021,8.5641176660,3.1081119167,0.1902340494,20.6739726027,20.6375823313,20.7103628741,0.0168630137,0.0159677777,0.0177582497,0.9931200678,8.5562739726,3.1131506849,0.0115049555
3,19,20.8293552124,5.3798263945,6.2187155138,9.0656753594,0.1651379446,0.0160556812,0.9934050342,9.0656753594,3.1093577569,0.1793275465,20.8346301370,20.7959864473,20.8732738266,0.0156164384,0.0147955896,0.0164372871,0.9934949292,9.0700821918,3.1114657534,0.0052749246
3,20,21.0329109312,5.0883791313,6.2209863250,9.5674907749,0.1560547000,0.0151729094,0.9937677835,9.5674907749,3.1104931625,0.1696126377,21.0602328767,21.0205198283,21.0999459251,0.0157671233,0.0149511457,0.0165831009,0.9935751864,9.5768082192,3.1137260274,0.0273219455
3,21,21.2669872735,4.8268733548,6.2229976709,10.0691069313,0.1480093166,0.0143897449,0.9940890848,10.0691069313,3.1114988354,0.1608957785,21.2693972603,21.2305130817,21.3082814389,0.0140958904,0.0133107739,0.0148810070,0.9942442337,10.0571780822,3.1166301370,0.0024099867
4,16,21.3104448569,6.9792498066,6.2481339227,8.0355968183,0.0474643094,0.0059330387,0.9981044605,8.0355968183,3.1240669613,0.2326416602,21.3259726027,21.2852381953,21.3667070101,0.0054520548,0.0049043944,0.0059997152,0.9982650238,8.0357534247,3.1276849315,0.0155277459
4,17,21.3288084820,6.4960573682,6.2489227650,8.5395194088,0.0443089400,0.0055386175,0.9982304736,8.5395194088,3.1244613825,0.2165352456,21.3413287671,21.3034003646,21.3792571697,0.0054246575,0.0049000099,0.0059493052,0.9982737724,8.5388904110,3.1280136986,0.0125202852
4,18,21.4123424651,6.0768260751,6.2496741973,9.0445389817,0.0413032109,0.0051629014,0.9983505107,9.0445389817,3.1248370986,0.2025608692,21.4328082192,21.3945418387,21.4710745996,0.0047260274,0.0042491574,0.0052028974,0.9984970679,9.0472465753,3.1296986301,0.0204657541
4,19,21.5433298038,5.7070214817,6.2502632173,9.5470979740,0.0389471308,0.0048683913,0.9984446034,9.5470979740,3.1251316087,0.1902340494,21.5559589041,21.5191024944,21.5928153138,0.0046986301,0.0042287392,0.0051685211,0.9984985386,9.5394109589,3.1300273973,0.0126291003
4,20,21.7169654438,5.3798263945,6.2508268763,10.0496196782,0.0366924948,0.0045865618,0.9985346448,10.0496196782,3.1254134382,0.1793275465,21.7251780822,21.6876079080,21.7627482564,0.0048082192,0.0043155665,0.0053008718,0.9984701267,10.0544657534,3.1270136986,0.0082126384
4,21,21.9267005658,5.0883791313,6.2513321437,10.5523178656,0.0346714252,0.0043339282,0.9986153584,10.5523178656,3.1256660718,0.1696126377,21.9499178082,21.9110237920,21.9888118245,0.0043972603,0.0039406315,0.0048538891,0.9985985453,10.5610410959,3.1295205479,0.0232172425
